word,translation
Bēlet(-kala)-ilī (DINGIR.MAḪ),DN
Bēlet-Bābili,DN
Bēlet-bīti,DN
Bēlet-ilī,DN
Bēlet-mātāti,DN
Bēlet-Ninua,DN
Bēlet-Nippuri,DN
Bēlet-ṣēri,DN
Bēlet-ṣērim (dNIN.EDIN),"DN, mistress of the field"
Belili,DN
bēltu,lady
bēltum,lady
bēltum (//ga-ša-an),"lady, mistress, proprietress"
bēltum (//nin),"lady, mistress, proprietress"
bēltum (NIN),"lady, mistress, proprietress"
bēlu,lord
bēlum,"lord, proprietor (of)"
bēlum (//lu-ga-al),"lord, master, proprietor, owner"
bēlum (//lugal),"lord, master, proprietor, owner"
bēlum (EN),"lord, master, proprietor, owner"
bêlum (v.),to reign
bêlum (v.),to rule (over)
bēlūtum,"rule, domination, lordship"
Benna,DN
bennum,epilepsy
berîš,"in hunger, hungrily"
"berqum, birqum",lightning (flash)
bērum,double hour
berûm (v.),to be hungry
bêrum (v.),"to choose, select; examine, check"
"bērum II, bīrum, ba/e/i'rum",selected; elite (of soldiers)
bērum III (DANNA),"double hour, league"
biātum (v.),to spend the night
"bibbulu, bubbulu","flood, spate, day of the disappearance of the moon"
bibbulum,disappearance of the moon (day of)
bibbum,"a kind of wild ship, planet"
bibinātum,slavemark
biblum,"present, (marriage) gift"
bikītum,"weeping, mourning"
bikītum (//i(r)),"crying, weeping"
billatu,mixture
billatum,"mixture, mixed beer"
billatum (KAŠ.Ú.SA),"mixture, Bab. (a dry substance used in the preparation of beer)"
biltu,"load, talent, yield, rent, tribute"
biltum,"load, talent, yield, tribute"
Bindūku,DN
biniannum,"form, shape"
binītum,"creature, form, shape; limbs"
bīnu,tamarisk
bīnum,tamarisk
bīnum I,son
bīnum II (gišŠINIG),tamarisk
binûtum,creation
birbirrū,"radiance, sparkle, flash"
biri-,"among, between"
"biri-, beri-","between, among"
birīt,"between, among"
birītu,"space between, distance, middle"
birītum,"space between, distance"
birkum,knee
birkum (//du10-ub),knee
birmum,multicolored cloth
birti,between
birtu,"fort, castle, citadel"
birtum,"fort, castle"
bīrum,divination
Bisan,GN
bišrum (cf. mê bišrim),small child
biṣṣūru,"female genitals, vulva"
biṣṣūrum,"female genitals, vulva"
bīšum I,"bad, malodorous"
bīšum II,"possessions, property"
bīt aštammim,"tavern, hostel"
bīt eklētim (É.GI6),"dark chamber, underworld"
bīt makkūrim,storehouse
bīt mummi,"a school, (sculpture) workshop of a temple"
bīt ṭuppim (//é-dub-ba),"school, Edubba"
Bīt-Kurigalzu,TN
bītānu,"in the house, inside"
bītānûm,"inner, interior"
bitiqtum,"damages, loss"
bitqūtum,splitting
bitrûm (v.),"to be continuous, endure"
bittum,weft yarns
bītu,"house, temple"
bītum,"house, palace, temple"
bītum (//é),house
bītum (É),house
Borsippa (uru.BAR.SÍ.PÁ.ki),GN
bu'ārum,"health, prosperity"
"bu'šum, būšum",stench
bu(')ārum,happiness
Bubu,PN
bubu'tum (BU.UL),"boil, pustule"
bubu(ʾ)tum,"boil, pustule"
bubūtum,"hunger, starvation"
buddurum,"reed (basket), profusion"
"būdum, pūdum",shoulder
buḫḫurum cf. puḫḫurum,hot
bukānum,pestle (wooden)
bukīnum (cf. pû kīnum),trough
bukratum,"daughter, first-born"
bukrum,"son, child, first born"
būl Šakkan (//máš-anše dšakkan),"animals, livestock of Šakkan"
"būl Šakkan, būl dŠakkan","animals, livestock of Šakkan"
būl ṣērim,wild animal
bulṭum,"life, cure, healing"
būlu,"animals, livestock"
bulûm,"firewood, dry wood and reed"
būlum (//máš-anše),"animals, livestock"
būlum (MÁŠ.ANŠE),"animals, livestock"
Bunene,DN
bunna(n)nû,"physiognomy, (facial) features, (representation of) face"
bunnan(n)û,"physiognomy, features, likeness, image"
buntum,daughter
būnum,"features, face, goodness, pl. face"
buqlum (MUNU7),malt
burāšu,juniper
burāšum (//giš-li),juniper
"burāšum, baršum","(species of) juniper, juniper essence"
burbillatum,an insect
burkum,knee
burmāmum,piglet
burmu,"color(ed part), iris"
Burra-ḫarab,PN
burrumum,"multicoloured, pied, speckled"
bursaggûm,a kind of offering
būrtu,"cistern, well"
būrtum,"cistern, well, hole, pit"
būrtum (//pú),"cistern, well, fish pond, source (of river), hole, pit"
būru,i' [8']
burubalûm,designation of a supernatural snake
burûm,reed mat
būrum I,"cistern, pool"
būrum II,"calf, (bull) calf"
būrum III (BÙRiku),"bur, surface measure (a sort of)"
būrum V,kind of song
būšānu,"bad smell, a bad-smelling plant"
būṣānûm,"desig. of star, perhaps hyena-like"
Buššānītum,SN
bussurtum,"message, report"
būṣum,hyaena
būṣum,hyena
"buṭumtum, buṭuntum","terebinth, pistachio"
da'āmum (v.) I,to become dark
da'āmum (v.) II,to wander about
dā'inum,who judges
da'mum,"dark, somber, gloomy"
da-ma-nu-um,?
dababtum,talk
dabābu (v.),"to speak, talk, litigate, complain, (Š) make smb. speak, agree"
dabābum (v.),"to speak, talk"
dabābum I,talk
dabābum II (v.),"G to speak, talk; Gt speak to each other"
"dabbibum, f. dabbibtum",slanderer
dabdûm,"defeat, bloodshed"
dābibum,gossiping man
daddarum,centaury
dadmū,"the inhabited world; villages, settlements"
dādum I,"darling, favorite, sexual attractiveness"
dādum II (GÌR.PAD.RÁ),"foodstuff, bone of fish"
dagālu (v.),"to see, look"
dagālum (v.),"to see, look, have at one's disposal, own"
Dagan,DN
Dagan (//dDa-gan),DN
dakāšum (v.),G to press out
dâkum (v.),"to kill, beat"
dalāḫum (v.),"G to disturb, stir up; N pass. be made turbid, be stirred up; Ntn iter. of N"
dalālum (v.),G to praise
dalāpum (v.),"to stir up, be sleepless, keep awake"
dalḫum,"troubled, disturbed"
dalīlum,praise
dalpum,sleepless man
daltum,door
daltum (GIŠ.IG),door
dâlum (v.),to move
damāmum (v.),"G to wail, moan"
damāmum (v.) (//še ~še),"G to wail, moan"
damāqum (v.),G to improve (intrans.) D to improve (trans.)
Damgalnunna,DN
dāmimum,who wails
damiqtum,"favour, good fortune"
dāmiqum,propitious
Damkianna,DN
Damkina,DN
damqu,good
damqum,"good, beautiful"
damqum (//níg-ku7-ku7),good
damqum (//sa6),good
damṣum,humble
dāmu,blood
dāmum,blood
danānum,"power, strength"
danānum (v.),to be(come) strong
dandannum,all-powerful
dannatum,"fortified (place), fortress, distress, difficulty"
danniš,"very, severely"
dannu,strong
dannum,"strong, mighty, hard"
dannum (KAL.GA),"powerful, mighty, great, strong"
dannūtum,"strength, power"
Dāpinum,Jupiter
dapniš,aggressively
dapnum,aggressive
daqqum,small
darārum (v.),G to move freely; N to roam free
darāsum (v.),to trample
dāriš,for ever
dārišam,for ever
dārītum,"perpetuity, eternity"
dārû,"lasting, eternal"
darû (v.),to last (for ever)
dārûm,"everlasting, enduring"
dārûm,"lasting, eternal"
dārûm (//gi16),"lasting, eternal"
darûm (v.),to last (for ever)
dašāpum (v.),G be sweet; D make sweet
dašnum,mighty
dāṣtum,"treachery, disrespect"
"dawûm, damûm (v.)",to jerk; convulse
dayyānum,judge
dayyānum (//di-ku5),judge
dayyāšu,threshing
daʾummatum,"gloom, darkness"
dekû (v.),"to raise, shift, call up, wake up"
dekûm (v.),"to raise, shift, call up, levy (troops), lift, remove"
Dēr,GN
dešûm (v.),G to sprout; D to let flourish
di'qaqqadim,disease affecting the head (a kind of)
"di'um I, ṭi'um, ṭīḫum","a disease affecting the head, malaria(?)"
diānum (v.),to judge
"diānum, dânum (v.)",to judge
diāšum (v.),"G to tread down, thresh, to trample"
dibbum,"words, utterance"
"dīdū, dādū",female garment
diglu,"vision, view"
dīḫum,mark
dīku,"lifting, raising"
dīkum,"lifting, raising, awakening"
Dilbat,Venus
diliptum,"sleeplessness, anxiety"
Dimkurkurra,GN
dimmatum,moaning
Dimmerankia,DN
dimtum,tear
dimtum I (AN.ZA.GÀR),tower
dimtum II,tear
dinānum,substitution
Dingir-maḫ,DN
dīnum,"legal decision, lawsuit, trial, judgment"
dīnum (DI.KU5),"verdict, case, judgement, legal decision"
dipārum,torch
dipārum (//gi-zi-la),torch
dippum,twin panels (kind of wooden door)
diqāru,"large bowl, tureen"
diqārum,"large bowl, tureen"
dīrum,eternity
Dirûm,man from Diru
dišpum,"honey, syrup"
diššum,"name of sign DIŠ, here: ""wedge"""
dīšum,"spring grass, spring pasture"
dItûr-Mêr,DN
diʾum,(deity's) throne-platform
dMāšum (dMAŠ.TAB.BA),DN
dubbubtum,"(troublesome) negotiation(s), complaint(s)"
duḫḫusu (v.),"D to oppress, Dt be oppressed"
Duḫsusu,PN
dullum,"trouble, work, service"
dullupum,very restless
"dûm, di'um",(platform in a) cella
dummuqum,"good quality, very good"
dumqum,"goodness, good (thing)"
Dumuzi,DN
Dunga,DN
dunnamûm,"person of lowly status, poor"
dunnišum,strength
dunnum,"strength, force"
duppurum (v.),"to move away, withdraw"
Dūr-karāšu,GN
Dūr-Šulgi,GN
Duranki,TN
dūru,"city wall, rampart, fort"
dūrum,"(city) wall, rampart, fortress"
Dūrum,DN
dušmûm,slave born in the house
duššûm,"abundant, copious"
duššupum,"sweetened, very sweet"
dušûm,"quartz, rock-crystal"
dūtum,"virility, manliness"
Duʾūzu,MN
e'ēlum (v.),"G to bind (on), tie up"
e'ēlum (v.) (//a ~ri),"G to bind (on), tie up"
e'ēlum (v.) (//gi4),"G to bind (on), tie up"
E-(nig)-gidar-kalamma-summu,TN
É-tuššum,TN
É.KIŠ.NU.GÁL,GN
Ea,DN
Ea (//dEn-ki),DN
Ea-ibbīšu,PN
Eabzu,TN
Eadgigi,TN
